_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
235.54298333,25.92823333,J154210.3+255541,FITS,15 42 10.316,+25 55 41.64,0.014,1.71,2.03,0.144,4.38,0.0,127.7,,g,,1995.886,2450041.9,1.037
217.83815,25.92820556,J143121.1+255541,FITS,14 31 21.156,+25 55 41.54,0.014,2.18,1.58,0.138,0.0,0.0,100.0,,g,,1995.887,2450042.1,0.406
165.48926667,25.92820278,J110157.4+255541,FITS,11 01 57.424,+25 55 41.53,0.014,2.68,3.2,0.14,2.86,1.81,176.5,,,,1995.886,2450041.9,0.539
150.33667083,25.92819722,J100120.8+255541,FITS,10 01 20.801,+25 55 41.51,0.014,1.85,1.98,0.133,1.7,1.2,178.6,,g,,1995.886,2450041.9,0.407
236.5466375,25.92818611,J154611.1+255541,FITS,15 46 11.193,+25 55 41.47,0.014,3.34,5.89,0.132,6.23,3.13,68.4,,g,,1995.887,2450042.1,0.439
163.22116667,25.92817222,J105253.0+255541,FITS,10 52 53.080,+25 55 41.42,0.055,1.13,9.1,0.142,14.42,14.32,0.1,,,,1995.886,2450041.9,0.363
236.5442625,25.92801389,J154610.6+255540,FITS,15 46 10.623,+25 55 40.85,0.014,2.35,3.21,0.134,3.85,2.61,70.2,,,,1995.887,2450042.1,0.336
259.47419583,25.92795,J171753.8+255540,FITS,17 17 53.807,+25 55 40.62,0.014,2.64,5.89,0.146,9.35,2.69,136.6,,g,,1995.886,2450041.9,1.048
129.7179125,25.9279,J083852.2+255540,FITS,08 38 52.299,+25 55 40.44,0.193,1.05,1.13,0.146,4.95,0.0,163.0,,g,,1995.885,2450041.6,1.045
210.48333333,25.92783889,J140156.0+255540,FITS,14 01 56.000,+25 55 40.22,0.014,9.52,9.87,0.138,1.11,0.98,90.1,,s,,1995.886,2450042.1,0.521
211.9143,25.92774444,J140739.4+255539,FITS,14 07 39.432,+25 55 39.88,0.014,1.53,1.86,0.136,4.28,0.0,55.1,,,,1995.886,2450042.1,0.405
208.49350833,25.92765278,J135358.4+255539,FITS,13 53 58.442,+25 55 39.55,0.014,19.41,20.14,0.144,1.16,0.92,180.0,,,,1995.886,2450041.8,1.055
165.39075,25.92760833,J110133.7+255539,FITS,11 01 33.780,+25 55 39.39,0.113,1.11,1.29,0.135,6.54,0.0,28.2,,g,,1995.886,2450041.9,0.411
181.04735,25.92753611,J120411.3+255539,FITS,12 04 11.364,+25 55 39.13,0.014,1.36,1.02,0.135,0.54,0.0,111.4,,,,1995.886,2450042.0,0.33
174.75601667,25.92749167,J113901.4+255538,FITS,11 39 01.444,+25 55 38.97,0.014,1.8,1.29,0.145,0.0,0.0,88.4,,g,,1995.885,2450041.7,1.056
259.28863333,25.92732778,J171709.2+255538,FITS,17 17 09.272,+25 55 38.38,0.098,1.25,1.74,0.144,8.08,0.0,21.9,,,,1995.887,2450042.1,0.697
110.95955833,25.92725556,J072350.2+255538,FITS,07 23 50.294,+25 55 38.12,0.014,10.66,17.91,0.145,6.5,2.11,31.2,,,,1995.885,2450041.5,1.043
193.74727917,25.92717778,J125459.3+255537,FITS,12 54 59.347,+25 55 37.84,0.014,14.35,14.71,0.14,1.15,0.41,114.7,,g,,1995.886,2450042.0,0.583
